movie_name,movie_rating,movie_cast
Solo: A Star Wars Story,7.0,"Alden Ehrenreich,Woody Harrelson,Emilia Clarke,Donald Glover"
The Secret Life of Pets 2,6.5,"Patton Oswalt,Kevin Hart,Harrison Ford,Eric Stonestreet"
Charlie's Angels,,"Naomi Scott,Elizabeth Banks,Kristen Stewart,Noah Centineo"
UglyDolls,4.5,"Kelly Clarkson,Nick Jonas,Janelle Monáe,Blake Shelton"
Polaroid,5.2,"Kathryn Prescott,Tyler Young,Samantha Logan,Keenan Tracey"
The Highwaymen,7.0,"Kevin Costner,Woody Harrelson,Kathy Bates,John Carroll Lynch"
The Incredible Hulk,6.7,"Edward Norton,Liv Tyler,Tim Roth,William Hurt"
Serenity,5.3,"Matthew McConaughey,Anne Hathaway,Diane Lane,Jason Clarke"
Bumblebee,6.9,"Hailee Steinfeld,Jorge Lendeborg Jr.,John Cena,Jason Drucker"
Loqueesha,1.1,"Jeremy Saville,Susan Diol,Tiara Parker,Dwayne Perkins"
Breakthrough,5.8,"Topher Grace,Josh Lucas,Chrissy Metz,Rebecca Staab"
Iron Man 3,7.2,"Robert Downey Jr.,Guy Pearce,Gwyneth Paltrow,Don Cheadle"
The Dirt,7.0,"Douglas Booth,Iwan Rheon,Daniel Webber,Machine Gun Kelly"
Someone Great,6.1,"Gina Rodriguez,LaKeith Stanfield,Brittany Snow,DeWanda Wise"
Captain America: The Winter Soldier,7.8,"Chris Evans,Samuel L. Jackson,Scarlett Johansson,Robert Redford"
The Shawshank Redemption,9.3,"Tim Robbins,Morgan Freeman,Bob Gunton,William Sadler"
Mary Poppins Returns,6.9,"Emily Blunt,Lin-Manuel Miranda,Ben Whishaw,Emily Mortimer"
Dragged Across Concrete,7.1,"Mel Gibson,Vince Vaughn,Tory Kittles,Michael Jai White"
Suicide Squad,6.1,"Will Smith,Jared Leto,Margot Robbie,Viola Davis"
Fast & Furious Presents: Hobbs & Shaw,,"Vanessa Kirby,Dwayne Johnson,Idris Elba,Eiza González"
